answer_model,eval_model,project,question,metric,score
google/gemini-3-pro-preview,google/gemini-2.5-flash,adaptive_quiz_engine,q1,state_space_estimation_accuracy,0.08411856518686803
google/gemini-3-pro-preview,google/gemini-2.5-flash,adaptive_quiz_engine,q1,control_flow_understanding,0.75
google/gemini-3-pro-preview,google/gemini-2.5-flash,adaptive_quiz_engine,q1,edge_case_detection,0.001579778830963665
google/gemini-3-pro-preview,google/gemini-2.5-flash,adaptive_quiz_engine,q1,decision_boundary_clarity,1.0
google/gemini-3-pro-preview,google/gemini-2.5-flash,adaptive_quiz_engine,q1,outcome_precision,0.2
google/gemini-3-pro-preview,google/gemini-2.5-flash,adaptive_quiz_engine,q1,direction_accuracy,0.4
google/gemini-3-pro-preview,google/gemini-2.5-flash,adaptive_quiz_engine,q1,coverage_completeness,0.0
google/gemini-3-pro-preview,google/gemini-2.5-flash,adaptive_quiz_engine,q2,direction_accuracy,0.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q1,state_space_estimation_accuracy,0.08411856518686803
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q1,control_flow_understanding,0.625
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q1,edge_case_detection,0.2
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q1,decision_boundary_clarity,0.2857142857142857
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q1,outcome_precision,0.5
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q1,direction_accuracy,0.25
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q1,coverage_completeness,0.1
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q2,control_flow_understanding,1.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q2,edge_case_detection,1.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q2,decision_boundary_clarity,1.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q2,outcome_precision,0.8
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q2,direction_accuracy,0.25
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q2,coverage_completeness,0.5
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q3,control_flow_understanding,1.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q3,edge_case_detection,0.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q3,decision_boundary_clarity,1.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q3,outcome_precision,1.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q3,direction_accuracy,1.0
google/gemini-3-pro-preview,openai/gpt-4o-mini,adaptive_quiz_engine,q3,coverage_completeness,0.5
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q1,state_space_estimation_accuracy,0.08411856518686803
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q1,control_flow_understanding,1.0
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q1,edge_case_detection,1.0
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q1,decision_boundary_clarity,0.5789473684210527
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q1,outcome_precision,0.5
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q1,direction_accuracy,0.8
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q1,coverage_completeness,0.0026
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q3,direction_accuracy,1.0
x-ai/grok-code-fast-1,google/gemini-2.5-flash,adaptive_quiz_engine,q3,coverage_completeness,1.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q1,state_space_estimation_accuracy,0.08411856518686803
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q1,control_flow_understanding,0.75
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q1,edge_case_detection,0.42857142857142855
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q1,decision_boundary_clarity,0.5714285714285714
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q1,outcome_precision,0.2
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q1,direction_accuracy,0.25
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q1,coverage_completeness,0.0026
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q2,state_space_estimation_accuracy,0.5
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q2,control_flow_understanding,1.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q2,edge_case_detection,1.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q2,decision_boundary_clarity,1.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q2,outcome_precision,0.5
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q2,direction_accuracy,0.25
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q2,coverage_completeness,0.75
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q3,control_flow_understanding,1.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q3,edge_case_detection,0.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q3,decision_boundary_clarity,0.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q3,outcome_precision,1.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q3,direction_accuracy,1.0
x-ai/grok-code-fast-1,openai/gpt-4o-mini,adaptive_quiz_engine,q3,coverage_completeness,0.25
google/gemini-3-pro-preview,x-ai/grok-4-fast,adaptive_quiz_engine,q1,state_space_estimation_accuracy,0.08411856518686803
